"Filter1","Start1","End1","Filter2","Start2","End2"
"EMMA",2024-03-31 15:00:00,2024-03-31 17:00:00,"LucentOMS",2024-03-31 14:00:00,2024-03-31 16:00:00
"EMMA",2024-03-30 20:00:00,2024-03-30 22:00:00,"CA_Spectrum",2024-03-30 20:00:00,2024-03-30 22:00:00
"EMMA",2024-03-30 20:00:00,2024-03-30 22:00:00,"SCOM",2024-03-30 20:00:00,2024-03-30 23:00:00
"EMMA",2024-03-30 20:00:00,2024-03-30 22:00:00,"Zabbix",2024-03-30 20:00:00,2024-03-31 06:00:00
"EMMA",2024-03-28 15:00:00,2024-03-28 19:00:00,"SCOM",2024-03-28 14:00:00,2024-03-28 16:00:00
"EMMA",2024-03-28 15:00:00,2024-03-28 19:00:00,"DICA",2024-03-28 14:00:00,2024-03-28 16:00:00
"EMMA",2024-03-28 15:00:00,2024-03-28 19:00:00,"OCC",2024-03-28 14:00:00,2024-03-28 16:00:00
"EMMA",2024-03-28 15:00:00,2024-03-28 19:00:00,"StruxureWare",2024-03-28 14:00:00,2024-03-28 16:00:00
"EMMA",2024-03-28 15:00:00,2024-03-28 19:00:00,"NetAct",2024-03-28 15:00:00,2024-03-28 17:00:00
"EMMA",2024-03-28 15:00:00,2024-03-28 19:00:00,"MileStone",2024-03-28 16:00:00,2024-03-28 19:00:00
"EMMA",2024-03-27 01:00:00,2024-03-27 04:00:00,"SCOM",2024-03-26 23:00:00,2024-03-27 01:00:00
"EMMA",2024-03-27 01:00:00,2024-03-27 04:00:00,"Zabbix",2024-03-26 23:00:00,2024-03-27 03:00:00
"EMMA",2024-03-27 01:00:00,2024-03-27 04:00:00,"HA",2024-03-27,2024-03-27 02:00:00
"EMMA",2024-03-27 01:00:00,2024-03-27 04:00:00,"CA_Spectrum",2024-03-27 01:00:00,2024-03-27 03:00:00
"EMMA",2024-03-27 01:00:00,2024-03-27 04:00:00,"C-NMS",2024-03-27 01:00:00,2024-03-27 04:00:00
"EMMA",2024-03-27 01:00:00,2024-03-27 04:00:00,"NFM-P",2024-03-27 02:00:00,2024-03-27 04:00:00
"EMMA",2024-03-27 01:00:00,2024-03-27 04:00:00,"EML",2024-03-27 02:00:00,2024-03-27 04:00:00
"EMMA",2024-03-27 01:00:00,2024-03-27 04:00:00,"SDH",2024-03-27 02:00:00,2024-03-27 04:00:00
