Filter1,Start1,End1,Filter2,Start2,End2
EMMA,2024-01-01T23:00:00Z,2024-01-02T01:00:00Z,SCOM,2024-01-01T19:00:00Z,2024-01-02T01:00:00Z
EMMA,2024-01-01T23:00:00Z,2024-01-02T01:00:00Z,Zabbix,2024-01-01T20:00:00Z,2024-01-02T01:00:00Z
EMMA,2024-01-01T23:00:00Z,2024-01-02T01:00:00Z,HA,2024-01-01T23:00:00Z,2024-01-02T01:00:00Z
EMMA,2024-01-01T23:00:00Z,2024-01-02T01:00:00Z,StruxureWare,2024-01-01T23:00:00Z,2024-01-02T01:00:00Z
EMMA,2024-01-01T23:00:00Z,2024-01-02T01:00:00Z,C-NMS,2024-01-02T00:00:00Z,2024-01-02T02:00:00Z
EMMA,2024-01-01T23:00:00Z,2024-01-02T01:00:00Z,EML,2024-01-02T00:00:00Z,2024-01-02T02:00:00Z
EMMA,2024-01-01T23:00:00Z,2024-01-02T01:00:00Z,SDH,2024-01-02T00:00:00Z,2024-01-02T02:00:00Z
EMMA,2024-01-01T23:00:00Z,2024-01-02T01:00:00Z,LucentOMS,2024-01-02T00:00:00Z,2024-01-02T09:00:00Z
EMMA,2024-01-09T09:00:00Z,2024-01-09T11:00:00Z,StruxureWare,2024-01-09T07:00:00Z,2024-01-09T09:00:00Z
EMMA,2024-01-09T09:00:00Z,2024-01-09T11:00:00Z,SCOM,2024-01-09T07:00:00Z,2024-01-09T11:00:00Z
EMMA,2024-01-09T09:00:00Z,2024-01-09T11:00:00Z,SkyWalker,2024-01-09T08:00:00Z,2024-01-09T10:00:00Z
EMMA,2024-01-09T09:00:00Z,2024-01-09T11:00:00Z,LucentOMS,2024-01-09T08:00:00Z,2024-01-09T12:00:00Z
EMMA,2024-01-09T09:00:00Z,2024-01-09T11:00:00Z,NetAct,2024-01-09T08:00:00Z,2024-01-09T12:00:00Z
EMMA,2024-01-09T09:00:00Z,2024-01-09T11:00:00Z,EML,2024-01-09T08:00:00Z,2024-01-09T12:00:00Z
