Filter1;Start1;End1;Filter2;Start2;End2;;;
EMMA;2023-01-18T06:00:00Z;2023-01-18T08:00:00Z;CA_Spectrum;2023-01-18T03:00:00Z;2023-01-18T06:00:00Z;;;142
EMMA;2023-01-18T06:00:00Z;2023-01-18T08:00:00Z;HA;2023-01-18T05:00:00Z;2023-01-18T07:00:00Z;;;
EMMA;2023-01-18T06:00:00Z;2023-01-18T08:00:00Z;DICA;2023-01-18T05:00:00Z;2023-01-18T08:00:00Z;;;
EMMA;2023-01-18T06:00:00Z;2023-01-18T08:00:00Z;Impact;2023-01-18T06:00:00Z;2023-01-18T08:00:00Z;;;
EMMA;2023-01-18T06:00:00Z;2023-01-18T08:00:00Z;SCOM;2023-01-18T06:00:00Z;2023-01-18T10:00:00Z;;;
EMMA;2023-01-18T06:00:00Z;2023-01-18T08:00:00Z;OCC;2023-01-18T08:00:00Z;2023-01-18T10:00:00Z;;;
EMMA;2023-01-18T06:00:00Z;2023-01-18T08:00:00Z;Stonebranch;2023-01-18T08:00:00Z;2023-01-18T11:00:00Z;;;
EMMA;2023-01-18T06:00:00Z;2023-01-18T08:00:00Z;NFM-P;2023-01-18T08:00:00Z;2023-01-18T11:00:00Z;;;
EMMA;2023-01-18T06:00:00Z;2023-01-18T08:00:00Z;NetAct;2023-01-18T08:00:00Z;2023-01-18T12:00:00Z;;;
EMMA;2023-01-18T06:00:00Z;2023-01-18T08:00:00Z;CA_Spectrum;2023-01-18T08:00:00Z;2023-01-18T15:00:00Z;;;
EMMA;2023-01-18T06:00:00Z;2023-01-18T08:00:00Z;Zabbix;2023-01-18T08:00:00Z;2023-01-18T16:00:00Z;;;
EMMA;2023-01-24T01:00:00Z;2023-01-24T03:00:00Z;HA;2023-01-23T22:00:00Z;2023-01-24T02:00:00Z;;;
EMMA;2023-01-24T01:00:00Z;2023-01-24T03:00:00Z;CA_Spectrum;2023-01-23T23:00:00Z;2023-01-24T02:00:00Z;;;
EMMA;2023-01-24T01:00:00Z;2023-01-24T03:00:00Z;Zabbix;2023-01-24T00:00:00Z;2023-01-24T02:00:00Z;;;
EMMA;2023-01-24T01:00:00Z;2023-01-24T03:00:00Z;C-NMS;2023-01-24T01:00:00Z;2023-01-24T03:00:00Z;;;
EMMA;2023-01-24T01:00:00Z;2023-01-24T03:00:00Z;Stonebranch;2023-01-24T01:00:00Z;2023-01-24T05:00:00Z;;;
EMMA;2023-01-28T22:00:00Z;2023-01-29T02:00:00Z;CA_Spectrum;2023-01-28T19:00:00Z;2023-01-29T02:00:00Z;;;
EMMA;2023-01-28T22:00:00Z;2023-01-29T02:00:00Z;Stonebranch;2023-01-28T20:00:00Z;2023-01-28T22:00:00Z;;;
EMMA;2023-01-28T22:00:00Z;2023-01-29T02:00:00Z;SCOM;2023-01-28T20:00:00Z;2023-01-29T01:00:00Z;;;
EMMA;2023-01-28T22:00:00Z;2023-01-29T02:00:00Z;LucentOMS;2023-01-28T22:00:00Z;2023-01-29T00:00:00Z;;;
EMMA;2023-01-28T22:00:00Z;2023-01-29T02:00:00Z;DICA;2023-01-28T22:00:00Z;2023-01-29T00:00:00Z;;;
EMMA;2023-01-28T22:00:00Z;2023-01-29T02:00:00Z;NetAct;2023-01-28T22:00:00Z;2023-01-29T00:00:00Z;;;
EMMA;2023-01-28T22:00:00Z;2023-01-29T02:00:00Z;EML;2023-01-28T22:00:00Z;2023-01-29T00:00:00Z;;;
EMMA;2023-01-28T22:00:00Z;2023-01-29T02:00:00Z;SDH;2023-01-28T22:00:00Z;2023-01-29T00:00:00Z;;;
EMMA;2023-01-28T22:00:00Z;2023-01-29T02:00:00Z;HA;2023-01-29T00:00:00Z;2023-01-29T02:00:00Z;;;
EMMA;2023-01-28T22:00:00Z;2023-01-29T02:00:00Z;StruxureWare;2023-01-29T00:00:00Z;2023-01-29T02:00:00Z;;;
EMMA;2023-01-28T22:00:00Z;2023-01-29T02:00:00Z;Stonebranch;2023-01-29T00:00:00Z;2023-01-29T03:00:00Z;;;
EMMA;2023-01-28T22:00:00Z;2023-01-29T02:00:00Z;MileStone;2023-01-29T00:00:00Z;2023-01-29T03:00:00Z;;;
EMMA;2023-01-28T22:00:00Z;2023-01-29T02:00:00Z;Impact;2023-01-29T00:00:00Z;2023-01-29T03:00:00Z;;;
EMMA;2023-01-28T22:00:00Z;2023-01-29T02:00:00Z;Zabbix;2023-01-29T00:00:00Z;2023-01-29T04:00:00Z;;;
EMMA;2023-01-28T22:00:00Z;2023-01-29T02:00:00Z;C-NMS;2023-01-29T01:00:00Z;2023-01-29T03:00:00Z;;;
EMMA;2023-01-28T22:00:00Z;2023-01-29T02:00:00Z;NetAct;2023-01-29T01:00:00Z;2023-01-29T03:00:00Z;;;
EMMA;2023-01-28T22:00:00Z;2023-01-29T02:00:00Z;Ping;2023-01-29T01:00:00Z;2023-01-29T03:00:00Z;;;
EMMA;2023-01-28T22:00:00Z;2023-01-29T02:00:00Z;SDH;2023-01-29T01:00:00Z;2023-01-29T03:00:00Z;;;
EMMA;2023-01-28T22:00:00Z;2023-01-29T02:00:00Z;LucentOMS;2023-01-29T02:00:00Z;2023-01-29T04:00:00Z;;;
EMMA;2023-01-28T22:00:00Z;2023-01-29T02:00:00Z;EML;2023-01-29T02:00:00Z;2023-01-29T04:00:00Z;;;
EMMA;2023-01-28T22:00:00Z;2023-01-29T02:00:00Z;NFM-P;2023-01-29T02:00:00Z;2023-01-29T05:00:00Z;;;
EMMA;2023-02-01T01:00:00Z;2023-02-01T03:00:00Z;Stonebranch;2023-01-31T20:00:00Z;2023-02-01T04:00:00Z;;;
EMMA;2023-02-01T01:00:00Z;2023-02-01T03:00:00Z;CA_Spectrum;2023-01-31T22:00:00Z;2023-02-01T01:00:00Z;;;
EMMA;2023-02-01T01:00:00Z;2023-02-01T03:00:00Z;SCOM;2023-01-31T23:00:00Z;2023-02-01T01:00:00Z;;;
EMMA;2023-02-01T01:00:00Z;2023-02-01T03:00:00Z;DICA;2023-01-31T23:00:00Z;2023-02-01T01:00:00Z;;;
EMMA;2023-02-01T01:00:00Z;2023-02-01T03:00:00Z;Zabbix;2023-01-31T23:00:00Z;2023-02-01T03:00:00Z;;;
EMMA;2023-02-01T01:00:00Z;2023-02-01T03:00:00Z;HA;2023-02-01T00:00:00Z;2023-02-01T02:00:00Z;;;
EMMA;2023-02-01T01:00:00Z;2023-02-01T03:00:00Z;LucentOMS;2023-02-01T00:00:00Z;2023-02-01T03:00:00Z;;;
EMMA;2023-02-01T01:00:00Z;2023-02-01T03:00:00Z;C-NMS;2023-02-01T00:00:00Z;2023-02-01T04:00:00Z;;;
EMMA;2023-02-01T01:00:00Z;2023-02-01T03:00:00Z;NetAct;2023-02-01T01:00:00Z;2023-02-01T03:00:00Z;;;
EMMA;2023-02-01T01:00:00Z;2023-02-01T03:00:00Z;SolMan;2023-02-01T01:00:00Z;2023-02-01T03:00:00Z;;;
EMMA;2023-02-02T10:00:00Z;2023-02-02T12:00:00Z;SCOM;2023-02-02T06:00:00Z;2023-02-02T12:00:00Z;;;
EMMA;2023-02-02T10:00:00Z;2023-02-02T12:00:00Z;Impact;2023-02-02T06:00:00Z;2023-02-02T12:00:00Z;;;
EMMA;2023-02-02T10:00:00Z;2023-02-02T12:00:00Z;SkyWalker;2023-02-02T07:00:00Z;2023-02-02T11:00:00Z;;;
EMMA;2023-02-02T10:00:00Z;2023-02-02T12:00:00Z;CA_Spectrum;2023-02-02T07:00:00Z;2023-02-02T13:00:00Z;;;
EMMA;2023-02-02T10:00:00Z;2023-02-02T12:00:00Z;StruxureWare;2023-02-02T09:00:00Z;2023-02-02T12:00:00Z;;;
EMMA;2023-02-02T10:00:00Z;2023-02-02T12:00:00Z;C-NMS;2023-02-02T09:00:00Z;2023-02-02T13:00:00Z;;;
EMMA;2023-02-02T10:00:00Z;2023-02-02T12:00:00Z;LucentOMS;2023-02-02T09:00:00Z;2023-02-02T13:00:00Z;;;
EMMA;2023-02-02T10:00:00Z;2023-02-02T12:00:00Z;NetAct;2023-02-02T09:00:00Z;2023-02-02T13:00:00Z;;;
EMMA;2023-02-02T10:00:00Z;2023-02-02T12:00:00Z;Zabbix;2023-02-02T09:00:00Z;2023-02-02T14:00:00Z;;;
EMMA;2023-02-02T10:00:00Z;2023-02-02T12:00:00Z;EML;2023-02-02T09:00:00Z;2023-02-02T14:00:00Z;;;
EMMA;2023-02-02T10:00:00Z;2023-02-02T12:00:00Z;SDH;2023-02-02T09:00:00Z;2023-02-02T14:00:00Z;;;
EMMA;2023-02-02T10:00:00Z;2023-02-02T12:00:00Z;HA;2023-02-02T09:00:00Z;2023-02-02T16:00:00Z;;;
